date,county,state,fips,cases,deaths
1/21/2020,Snohomish,Washington,53061,1,0
1/22/2020,Snohomish,Washington,53061,1,0
1/23/2020,Snohomish,Washington,53061,1,0
1/24/2020,Cook,Illinois,17031,1,0
1/24/2020,Snohomish,Washington,53061,1,0
1/25/2020,Orange,California,6059,1,0
1/25/2020,Cook,Illinois,17031,1,0
1/25/2020,Snohomish,Washington,53061,1,0
1/26/2020,Maricopa,Arizona,4013,1,0
1/26/2020,Los Angeles,California,6037,1,0
1/26/2020,Orange,California,6059,1,0
1/26/2020,Cook,Illinois,17031,1,0
1/26/2020,Snohomish,Washington,53061,1,0
